"ID番号","pt0503","眼","開眼"
"氏名","おもり","姿勢","立位"
"性別","男","病名","正常"
"年齢","18.00","メモ",
"身長(cm)","177.00","検査者",
"体重(kg)","20.00"
"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
0.690,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.700,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.710,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.720,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.730,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.740,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.750,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.760,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.770,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.780,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.790,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.800,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.810,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.820,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.830,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.840,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.850,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.860,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.870,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.880,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.890,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.900,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.910,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
0.920,0.572,1.412,"---.---","---.---",10.028,"---.---","---.---","---.---","","","",""
